fda,state,similarity_scores,scale,predicted,confidence_level
Accomplishing Org Name,"['Lab Name', 'Lab State']","[0.412, 0.275]","[3, 2]",Lab Name,3
Problem Area Flag,['FDA Problem Area Flag'],[0.951],[5],FDA Problem Area Flag,5
Regulatory Program Name,"['LFFM Track', 'Sample Number (External)', 'Sample Number ']","[0.617, 0.581, 0.399]","[4, 3, 2]",LFFM Track,4
Sample number,"['Sample Number (External)', 'Sample Number ', 'LFFM Track']","[0.78, 0.682, 0.514]","[4, 4, 3]",Sample Number (External),4
Lab Sample number,"['Sample Number ', 'Sample Number (External)', 'LFFM Track']","[0.804, 0.733, 0.459]","[5, 4, 3]",Sample Number ,5
Brand Name,"['Brand', 'Product Description', 'Product Lot', 'Expiration Date']","[0.731, 0.571, 0.445, 0.438]","[4, 3, 3, 3]",Brand,4
Product Code,"['Product Code', 'Commodity Category (Assigned)']","[0.699, 0.364]","[4, 2]",Product Code,4
Expiry Date,"['Expiration Date', 'Brand', 'Product Description', 'Product Lot']","[0.783, 0.42, 0.407, 0.368]","[4, 3, 3, 2]",Expiration Date,4
Lot Size,"['Product Lot', 'Product Description', 'Brand', 'Expiration Date']","[0.462, 0.414, 0.352, 0.277]","[3, 3, 2, 2]",Product Lot,3
Sample Description,"['Product Description', 'Brand', 'Product Lot', 'Expiration Date']","[0.534, 0.42, 0.371, 0.266]","[3, 3, 2, 2]",Product Description,3
Sample Collector ID on Package,"['Collecting Entity', 'Collection Remarks']","[0.522, 0.497]","[3, 3]",Collecting Entity,3
Sample Collector ID on Seal,"['Collecting Entity', 'Collection Remarks']","[0.504, 0.503]","[3, 3]",Collecting Entity,3
sample Collection date,['Collection Date'],[0.796],[4],Collection Date,4
Sample Collection Remarks,"['Collection Remarks', 'Collecting Entity']","[0.667, 0.505]","[4, 3]",Collection Remarks,4
Country Code,"['Country of Origin', 'Collection Firm City', 'Collection Firm State', 'Collection Firm Address Line2', 'Collection Firm Address Line1', 'Collection Firm Zip Code', 'Manufacturer', 'Collection Firm Name', 'Collection Firm Type', 'Collection Firm ID']","[0.618, 0.561, 0.554, 0.539, 0.528, 0.519, 0.494, 0.434, 0.432, 0.418]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Country of Origin,4
Responsible Firm Type,"['Collection Firm Type', 'Collection Firm State', 'Manufacturer', 'Collection Firm Name', 'Collection Firm Address Line2', 'Collection Firm ID', 'Collection Firm City', 'Collection Firm Address Line1', 'Collection Firm Zip Code', 'Country of Origin']","[0.7, 0.632, 0.628, 0.614, 0.596, 0.592, 0.57, 0.564, 0.428, 0.359]","[4, 4, 4, 4, 3, 3, 3, 3, 3, 2]",Collection Firm Type,4
Firm Information Identifier,"['Collection Firm ID', 'Collection Firm Name', 'Collection Firm Type', 'Collection Firm Address Line2', 'Manufacturer', 'Collection Firm State', 'Collection Firm Address Line1', 'Collection Firm Zip Code', 'Collection Firm City', 'Country of Origin']","[0.552, 0.47, 0.436, 0.432, 0.411, 0.41, 0.387, 0.366, 0.342, 0.191]","[3, 3, 3, 3, 3, 3, 2, 2, 2, 1]",Collection Firm ID,3
Legal Name,"['Collection Firm Name', 'Manufacturer', 'Collection Firm State', 'Collection Firm Address Line2', 'Collection Firm Type', 'Collection Firm Address Line1', 'Collection Firm ID', 'Collection Firm City', 'Collection Firm Zip Code', 'Country of Origin']","[0.646, 0.57, 0.555, 0.539, 0.524, 0.52, 0.494, 0.487, 0.452, 0.401]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Collection Firm Name,4
Responsible Firm Type ,"['Collection Firm Type', 'Collection Firm Name', 'Collection Firm State', 'Manufacturer', 'Collection Firm Address Line2', 'Collection Firm ID', 'Collection Firm Address Line1', 'Collection Firm City', 'Collection Firm Zip Code', 'Country of Origin']","[0.695, 0.619, 0.617, 0.611, 0.608, 0.594, 0.581, 0.561, 0.424, 0.346]","[4, 4, 4, 4, 4, 3, 3, 3, 3, 2]",Collection Firm Type,4
State,"['Collection Firm State', 'Manufacturer', 'Collection Firm City', 'Collection Firm Address Line2', 'Collection Firm Address Line1', 'Collection Firm Name', 'Collection Firm Type', 'Collection Firm ID', 'Country of Origin', 'Collection Firm Zip Code']","[0.728, 0.555, 0.549, 0.514, 0.511, 0.482, 0.48, 0.468, 0.432, 0.415]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Collection Firm State,4
Zip Code,"['Collection Firm Zip Code', 'Collection Firm Address Line2', 'Collection Firm Address Line1', 'Collection Firm State', 'Collection Firm City', 'Manufacturer', 'Collection Firm ID', 'Collection Firm Name', 'Collection Firm Type', 'Country of Origin']","[0.851, 0.546, 0.541, 0.502, 0.484, 0.442, 0.439, 0.427, 0.417, 0.362]","[5, 3, 3, 3, 3, 3, 3, 3, 3, 2]",Collection Firm Zip Code,5
Address Line 1,"['Collection Firm Address Line1', 'Collection Firm Address Line2', 'Collection Firm City', 'Collection Firm State', 'Collection Firm Zip Code', 'Manufacturer', 'Collection Firm Name', 'Collection Firm Type', 'Country of Origin', 'Collection Firm ID']","[0.838, 0.729, 0.515, 0.485, 0.473, 0.45, 0.437, 0.419, 0.39, 0.385]","[5, 4, 3, 3, 3, 3, 3, 3, 2, 2]",Collection Firm Address Line1,5
Address Line 2,"['Collection Firm Address Line2', 'Collection Firm Address Line1', 'Manufacturer', 'Collection Firm State', 'Collection Firm Zip Code', 'Collection Firm Name', 'Collection Firm Type', 'Collection Firm City', 'Collection Firm ID', 'Country of Origin']","[0.852, 0.714, 0.53, 0.517, 0.509, 0.468, 0.461, 0.437, 0.42, 0.367]","[5, 4, 3, 3, 3, 3, 3, 3, 3, 2]",Collection Firm Address Line2,5
City,"['Collection Firm City', 'Collection Firm State', 'Collection Firm Address Line1', 'Collection Firm Address Line2', 'Country of Origin', 'Collection Firm Name', 'Collection Firm Type', 'Manufacturer', 'Collection Firm Zip Code', 'Collection Firm ID']","[0.784, 0.552, 0.549, 0.469, 0.462, 0.458, 0.457, 0.442, 0.441, 0.439]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Collection Firm City,4
SampleReceivedDate,['Lab Receipt Date'],[0.504],[3],Lab Receipt Date,3
Sample Delivered Date,['Lab Receipt Date'],[0.586],[3],Lab Receipt Date,3
Method Genus,"['Salmonella Confirmatory Method', 'Salmonella Screen Method']","[0.4, 0.385]","[3, 2]",Salmonella Confirmatory Method,3
Method Remarks,"['Salmonella Screen Method Remarks', 'Salmonella Confirmatory Method Remarks']","[0.699, 0.527]","[4, 3]",Salmonella Screen Method Remarks,4
Lab Start Date,"['Salmonella Analysis Start Date', 'Salmonella Analysis Completion Date']","[0.727, 0.568]","[4, 3]",Salmonella Analysis Start Date,4
Lab End Date,"['Salmonella Analysis Completion Date', 'Salmonella Analysis Start Date']","[0.62, 0.601]","[4, 4]",Salmonella Analysis Completion Date,4
Species Code,"['Salmonella Screen Result', 'Salmonella Confirmatory Result']","[0.476, 0.448]","[3, 3]",Salmonella Screen Result,3
Test Result Remarks,"['Salmonella Final Result', 'Salmonella Serotype']","[0.584, 0.187]","[3, 1]",Salmonella Final Result,3
Analyte Presence Indicator,"['Salmonella Confirmatory Result', 'Salmonella Screen Result']","[0.471, 0.463]","[3, 3]",Salmonella Confirmatory Result,3
Result Genus,"['Salmonella Screen Result', 'Salmonella Confirmatory Result']","[0.556, 0.489]","[3, 3]",Salmonella Screen Result,3
