state,fda,similarity_scores,scale,predicted,confidence_level
Lab Name,['Accomplishing Org Name'],[0.412],[3],Accomplishing Org Name,3
Lab State,['Accomplishing Org Name'],[0.262],[2],Accomplishing Org Name,2
FDA Problem Area Flag,['Problem Area Flag'],[0.951],[5],Problem Area Flag,5
LFFM Track,"['Regulatory Program Name', 'Sample number', 'Lab Sample number']","[0.617, 0.531, 0.474]","[4, 3, 3]",Regulatory Program Name,4
Sample Number (External),"['Sample number', 'Lab Sample number', 'Regulatory Program Name']","[0.78, 0.733, 0.59]","[4, 4, 3]",Sample number,4
Sample Number ,"['Lab Sample number', 'Sample number', 'Regulatory Program Name']","[0.804, 0.682, 0.399]","[5, 4, 2]",Lab Sample number,5
Brand,"['Brand Name', 'Expiry Date', 'Sample Description', 'Lot Size']","[0.731, 0.42, 0.42, 0.352]","[4, 3, 3, 2]",Brand Name,4
Commodity Category (Assigned),['Product Code'],[0.335],[2],Product Code,2
Expiration Date,"['Expiry Date', 'Brand Name', 'Sample Description', 'Lot Size']","[0.783, 0.438, 0.278, 0.26]","[4, 3, 2, 2]",Expiry Date,4
Product Code,['Product Code'],[0.699],[4],Product Code,4
Product Lot,"['Lot Size', 'Brand Name', 'Sample Description', 'Expiry Date']","[0.462, 0.445, 0.371, 0.35]","[3, 3, 2, 2]",Lot Size,3
Product Description,"['Brand Name', 'Sample Description', 'Lot Size', 'Expiry Date']","[0.599, 0.534, 0.414, 0.407]","[3, 3, 3, 3]",Brand Name,3
Collecting Entity,"['Sample Collector ID on Package', 'Sample Collection Remarks', 'Sample Collector ID on Seal']","[0.522, 0.505, 0.504]","[3, 3, 3]",Sample Collector ID on Package,3
Collection Date,['sample Collection date'],[0.796],[4],sample Collection date,4
Collection Remarks,"['Sample Collection Remarks', 'Sample Collector ID on Seal', 'Sample Collector ID on Package']","[0.667, 0.503, 0.489]","[4, 3, 3]",Sample Collection Remarks,4
Country of Origin,"['Country Code', 'City', 'State', 'Legal Name', 'Address Line 1', 'Address Line 2', 'Zip Code', 'Responsible Firm Type', 'Responsible Firm Type ', 'Firm Information Identifier']","[0.618, 0.481, 0.432, 0.401, 0.39, 0.367, 0.362, 0.359, 0.357, 0.182]","[4, 3, 3, 3, 2, 2, 2, 2, 2, 1]",Country Code,4
Manufacturer,"['Responsible Firm Type', 'Responsible Firm Type ', 'Legal Name', 'State', 'Address Line 2', 'Country Code', 'Address Line 1', 'Zip Code', 'City', 'Firm Information Identifier']","[0.64, 0.623, 0.607, 0.578, 0.53, 0.494, 0.45, 0.442, 0.442, 0.432]","[4, 4, 4, 3, 3, 3, 3, 3, 3, 3]",Responsible Firm Type,4
Collection Firm ID,"['Responsible Firm Type ', 'Responsible Firm Type', 'Firm Information Identifier', 'Legal Name', 'State', 'Address Line 2', 'Zip Code', 'City', 'Address Line 1', 'Country Code']","[0.594, 0.592, 0.552, 0.479, 0.468, 0.445, 0.439, 0.439, 0.41, 0.392]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",Responsible Firm Type ,3
Collection Firm Name,"['Legal Name', 'Responsible Firm Type ', 'Responsible Firm Type', 'Address Line 2', 'Firm Information Identifier', 'Address Line 1', 'City', 'State', 'Zip Code', 'Country Code']","[0.646, 0.619, 0.614, 0.491, 0.479, 0.461, 0.458, 0.45, 0.427, 0.396]","[4, 4, 4, 3, 3, 3, 3, 3, 3, 2]",Legal Name,4
Collection Firm Type,"['Responsible Firm Type', 'Responsible Firm Type ', 'Legal Name', 'Address Line 2', 'State', 'City', 'Firm Information Identifier', 'Address Line 1', 'Zip Code', 'Country Code']","[0.7, 0.695, 0.497, 0.485, 0.464, 0.457, 0.453, 0.443, 0.417, 0.394]","[4, 4, 3, 3, 3, 3, 3, 3, 3, 2]",Responsible Firm Type,4
Collection Firm State,"['State', 'Responsible Firm Type', 'Responsible Firm Type ', 'Legal Name', 'Address Line 2', 'City', 'Country Code', 'Address Line 1', 'Zip Code', 'Firm Information Identifier']","[0.728, 0.632, 0.617, 0.542, 0.54, 0.536, 0.529, 0.508, 0.502, 0.41]","[4, 4, 4, 3, 3, 3, 3, 3, 3, 3]",State,4
Collection Firm Zip Code,"['Zip Code', 'Address Line 2', 'Country Code', 'Address Line 1', 'City', 'Legal Name', 'Responsible Firm Type', 'Responsible Firm Type ', 'State', 'Firm Information Identifier']","[0.851, 0.53, 0.519, 0.494, 0.441, 0.429, 0.428, 0.424, 0.401, 0.366]","[5, 3, 3, 3, 3, 3, 3, 3, 3, 2]",Zip Code,5
Collection Firm Address Line1,"['Address Line 1', 'Address Line 2', 'Responsible Firm Type ', 'Responsible Firm Type', 'City', 'Zip Code', 'Legal Name', 'State', 'Country Code', 'Firm Information Identifier']","[0.838, 0.714, 0.581, 0.564, 0.549, 0.53, 0.52, 0.499, 0.488, 0.394]","[5, 4, 3, 3, 3, 3, 3, 3, 3, 2]",Address Line 1,5
Collection Firm Address Line2,"['Address Line 2', 'Address Line 1', 'Responsible Firm Type ', 'Responsible Firm Type', 'Legal Name', 'Zip Code', 'State', 'Country Code', 'City', 'Firm Information Identifier']","[0.852, 0.729, 0.608, 0.596, 0.539, 0.535, 0.502, 0.5, 0.469, 0.439]","[5, 4, 4, 3, 3, 3, 3, 3, 3, 3]",Address Line 2,5
Collection Firm City,"['City', 'Responsible Firm Type', 'Country Code', 'Responsible Firm Type ', 'State', 'Address Line 1', 'Zip Code', 'Legal Name', 'Address Line 2', 'Firm Information Identifier']","[0.784, 0.57, 0.561, 0.561, 0.533, 0.527, 0.484, 0.473, 0.448, 0.359]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 2]",City,4
Lab Receipt Date,"['Sample Delivered Date', 'SampleReceivedDate']","[0.607, 0.504]","[4, 3]",Sample Delivered Date,4
Salmonella Confirmatory Method,['Method Genus'],[0.4],[3],Method Genus,3
Salmonella Confirmatory Method Remarks,['Method Remarks'],[0.527],[3],Method Remarks,3
Salmonella Screen Method,['Method Genus'],[0.385],[2],Method Genus,2
Salmonella Screen Method Remarks,['Method Remarks'],[0.699],[4],Method Remarks,4
Salmonella Analysis Start Date,"['Lab Start Date', 'Lab End Date']","[0.727, 0.591]","[4, 3]",Lab Start Date,4
Salmonella Analysis Completion Date,"['Lab End Date', 'Lab Start Date']","[0.611, 0.568]","[4, 3]",Lab End Date,4
Salmonella Confirmatory Result,"['Result Genus', 'Analyte Presence Indicator', 'Species Code']","[0.489, 0.485, 0.448]","[3, 3, 3]",Result Genus,3
Salmonella Final Result,['Test Result Remarks'],[0.584],[3],Test Result Remarks,3
Salmonella Screen Result,"['Result Genus', 'Species Code', 'Analyte Presence Indicator']","[0.556, 0.476, 0.463]","[3, 3, 3]",Result Genus,3
Salmonella Serotype,['Test Result Remarks'],[0.176],[1],Test Result Remarks,1
